plotid,quadrant,Cru_Mass,Cruc+sample,Sample_Mass,mass_Post_550C,Mass_Post_1050C,remainder,percent_total_organic_content,Post_550-post_1050,molecular_conversion,percent_carbonate_content
1caa,q1,11.9787,20.8657,8.887,20.1243,20.0787,0.7414,8.343,0.0456,0.062016,0.698
1caa,q2,12.5469,21.5689,9.022,20.7738,20.724,0.7951,8.813,0.0498,0.067728,0.751
1caa,q3,12.3822,22.0006,9.6184,21.499,21.4152,0.5016,5.215,0.0838,0.113968,1.185
1caa,q4,12.7699,22.5197,9.7498,21.9412,21.8521,0.5785,5.933,0.0891,0.121176,1.243
1cab,q1,12.5892,20.7236,8.1344,19.9346,19.8739,0.789,9.7,0.0607,0.082552,1.015
1cab,q2,17.6817,35.1134,17.4317,34.11,34.0584,1.0034,5.756,0.0516,0.070176,0.403
1cab,q3,11.7184,20.9619,9.2435,20.3773,20.3455,0.5846,6.324,0.0318,0.043248,0.468
1cab,q4,15.5699,32.3648,16.7949,30.4552,30.3778,1.9096,11.37,0.0774,0.105264,0.627
1n,q1,18.4769,27.8906,9.4137,27.3042,27.2393,0.5864,6.229,0.0649,0.088264,0.938
1n,q2,17.5625,21.9259,4.3634,17.9749,17.9615,3.951,90.549,0.0134,0.018224,0.418
1n,q3,17.385,28.7315,11.3465,28.0729,28.0379,0.6586,5.804,0.035,0.0476,0.42
1n,q4,18.2843,27.3739,9.0896,26.9163,26.8841,0.4576,5.034,0.0322,0.043792,0.482
1ga,q1,12.5316,21.0382,8.5066,20.4245,20.3926,0.6137,7.214,0.0319,0.043384,0.51
1ga,q2,11.5516,21.0835,9.5319,20.2216,20.1535,0.8619,9.042,0.0681,0.092616,0.972
1ga,q3,17.7396,33.3702,15.6306,31.0444,30.8309,2.3258,14.88,0.2135,0.29036,1.858
1ga,q4,11.9381,21.0841,9.146,20.5448,20.5068,0.5393,5.897,0.038,0.05168,0.565
1gb,q1,12.4698,20.8039,8.3341,20.2916,20.271,0.5123,6.147,0.0206,0.028016,0.336
1gb,q2,18.1346,34.8667,16.7321,34.0403,33.998,0.8264,4.939,0.0423,0.057528,0.344
1gb,q3,17.3681,36.78,19.4119,35.3207,35.2562,1.4593,7.518,0.0645,0.08772,0.452
1gb,q4,12.343,20.5057,8.1627,19.9779,19.9428,0.5278,6.466,0.0351,0.047736,0.585
1gc,q1,17.707,35.7279,18.0209,35.3999,35.3041,0.328,1.82,0.0958,0.130288,0.723
1gc,q2,15.7967,25.616,9.8193,24.2259,24.1946,1.3901,14.157,0.0313,0.042568,0.434
1gc,q3,12.3203,21.8389,9.5186,21.0673,21.0203,0.7716,8.106,0.047,0.06392,0.672
1gc,q4,13.1817,22.5408,9.3591,21.6488,21.604,0.892,9.531,0.0448,0.060928,0.651
1o,q1,11.8797,22.4076,10.5279,22.0756,22.0392,0.332,3.154,0.0364,0.049504,0.47
1o,q2,16.9916,34.328,17.3364,32.8955,32.8486,1.4325,8.263,0.0469,0.063784,0.368
1o,q3,12.4451,21.0176,8.5725,20.5401,20.5171,0.4775,5.57,0.023,0.03128,0.365
1o,q4,17.3909,27.7198,10.3289,27.4183,27.3603,0.3015,2.919,0.058,0.07888,0.764
1ma,q1,18.5244,27.522,8.9976,26.6216,26.5533,0.9004,10.007,0.0683,0.092888,1.032
1ma,q2,12.6801,22.0166,9.3365,21.4813,21.4219,0.5353,5.733,0.0594,0.080784,0.865
1ma,q3,18.5096,28.9766,10.467,27.7483,27.7104,1.2283,11.735,0.0379,0.051544,0.492
1ma,q4,17.9774,27.8499,9.8725,26.8138,26.7407,1.0361,10.495,0.0731,0.099416,1.007
1mb,q1,12.5662,20.7681,8.2019,20.0855,20.06,0.6826,8.322,0.0255,0.03468,0.423
1mb,q2,17.9459,36.3503,18.4044,34.3469,34.2744,2.0034,10.885,0.0725,0.0986,0.536
1mb,q3,16.3525,38.9595,22.607,38.3392,38.2911,0.6203,2.744,0.0481,0.065416,0.289
1mb,q4,16.9805,34.4582,17.4777,33.4645,33.3996,0.9937,5.686,0.0649,0.088264,0.505
1mc,q1,16.4273,33.0029,16.5756,31.6935,31.6123,1.3094,7.9,0.0812,0.110432,0.666
1mc,q2,17.579,34.5342,16.9552,32.4977,32.4451,2.0365,12.011,0.0526,0.071536,0.422
1mc,q3,16.3525,38.9595,22.607,38.3392,38.2911,0.6203,3.658,0.0481,0.065416,0.386
1mc,q4,16.2505,40.1027,23.8522,39.1871,39.1014,0.9156,3.839,0.0857,0.116552,0.489
1h,q1,15.8139,32.7059,16.892,30.7481,30.6568,1.9578,11.59,0.0913,0.124168,0.735
1h,q2,12.998,21.9904,8.9924,21.3244,21.2799,0.666,7.406,0.0445,0.06052,0.673
1h,q3,17.8001,31.7779,13.9778,29.0139,28.9539,2.764,19.774,0.06,0.0816,0.584
1h,q4,17.8435,35.4013,17.5578,33.944,33.8416,1.4573,8.3,0.1024,0.139264,0.793
1f,q1,18.4178,27.8253,9.4075,26.4671,26.4358,1.3582,14.437,0.0313,0.042568,0.452
1f,q2,12.4567,20.3934,7.9367,18.8391,18.8023,1.5543,19.584,0.0368,0.050048,0.631
1f,q3,12.4544,21.7605,9.3061,20.6095,20.5506,1.151,12.368,0.0589,0.080104,0.861
1f,q4,12.6204,22.6456,10.0252,22.2425,22.2129,0.4031,4.021,0.0296,0.040256,0.402
1i,q1,12.4231,21.3026,8.8795,20.7705,20.7068,0.5321,5.992,0.0637,0.086632,0.976
1i,q2,12.5291,20.9246,8.3955,20.2004,20.1399,0.7242,8.626,0.0605,0.08228,0.98
1i,q3,16.7997,29.697,12.8973,27.6217,27.5443,2.0753,16.091,0.0774,0.105264,0.816
1i,q4,15.5957,25.9561,10.3604,21.9567,21.8976,3.9994,38.603,0.0591,0.080376,0.776
1j,q1,12.4105,21.7517,9.3412,21.3003,21.2616,0.4514,4.832,0.0387,0.052632,0.563
1j,q2,12.3534,22.1156,9.7622,21.5249,21.4709,0.5907,6.051,0.054,0.07344,0.752
1j,q3,10.8855,20.8206,9.9351,20.2138,20.1743,0.6068,6.108,0.0395,0.05372,0.541
1j,q4,12.6204,22.6456,10.0252,22.2425,22.2129,0.4031,4.021,0.0296,0.040256,0.402
2e,q1,15.4165,24.075,8.6585,23.5654,23.5256,0.5096,5.886,0.0398,0.054128,0.625
2e,q2,12.6326,22.3381,9.7055,21.8126,21.7714,0.5255,5.414,0.0412,0.056032,0.577
2e,q3,17.8222,32.9006,15.0784,31.5612,31.504,1.3394,8.883,0.0572,0.077792,0.516
2e,q4,12.5257,21.2305,8.7048,20.6621,20.6371,0.5684,6.53,0.025,0.034,0.391
5a1,q1,12.5174,22.7368,10.2194,22.3951,22.3319,0.3417,3.344,0.0632,0.085952,0.841
5a1,q2,12.3807,22.0126,9.6319,21.5096,21.4528,0.503,5.222,0.0568,0.077248,0.802
5a1,q3,17.4698,27.6325,10.1627,27.2324,27.1417,0.4001,3.937,0.0907,0.123352,1.214
5a1,q4,13.0314,24.232,11.2006,23.7889,23.7223,0.4431,3.956,0.0666,0.090576,0.809
5a2,q1,17.635,27.8862,10.2512,27.1449,27.0793,0.7413,7.231,0.0656,0.089216,0.87
5a2,q2,12.2018,21.7119,9.5101,21.1664,21.1002,0.5455,5.736,0.0662,0.090032,0.947
5a2,q3,17.8997,29.3307,11.431,28.7391,28.6732,0.5916,5.175,0.0659,0.089624,0.784
5a2,q4,16.5647,25.5257,8.961,24.988,24.8799,0.5377,6,0.1081,0.147016,1.641
nc (non cop),Q1,16.5424,26.6191,10.0767,25.6224,25.5441,0.9967,9.891,0.0783,0.106488,1.057
nc,Q2,15.7901,26.2866,10.4965,25.4729,25.4067,0.8137,7.752,0.0662,0.090032,0.858
nc,Q3,16.91,26.3159,9.4059,25.6442,25.4819,0.6717,7.141,0.1623,0.220728,2.347
nc,Q4,16.0891,25.9926,9.9035,25.1799,25.1183,0.8127,8.206,0.0616,0.083776,0.846
